Masa,Radio,rho_m
8.102141058603510e-01,4.505930440497242e+00,5.427168938981770e+16
7.630764691161823e-01,4.267364011822158e+00,5.733889449088134e+16
7.189756797882633e-01,4.041345110580163e+00,6.057944498136926e+16
6.776826460454257e-01,3.827221088125054e+00,6.400313760556366e+16
6.389881888142048e-01,3.624372597473904e+00,6.762032277807266e+16
6.027013732644746e-01,3.432211952415084e+00,7.144193587492584e+16
5.686478964501462e-01,3.250181561976841e+00,7.547953029310475e+16
5.366685341004356e-01,3.077752437349566e+00,7.974531237845723e+16
5.066177444330355e-01,2.914422768404247e+00,8.425217832759438e+16
4.783622874103690e-01,2.759716567007465e+00,8.901375317532051e+16
4.517800651173047e-01,2.613182374396304e+00,9.404443198546618e+16
4.267590217159000e-01,2.474392029945419e+00,9.935942336965872e+16
4.031961628900597e-01,2.342939498731841e+00,1.049747954655822e+17
3.809966765926255e-01,2.218439755378021e+00,1.109075245137322e+17
3.600731445476036e-01,2.100527721731439e+00,1.171755461795306e+17
3.403448381197487e-01,1.988857256018544e+00,1.237978097759400e+17
3.217370897453287e-01,1.883100191189907e+00,1.307943355505092e+17
3.041807320965324e-01,1.782945420253336e+00,1.381862752100477e+17
2.876115974888431e-01,1.688098026471629e+00,1.459959758658896e+17
2.719700707189637e-01,1.598278456379978e+00,1.542470475930697e+17
2.572006899352591e-01,1.513221733655908e+00,1.629644348076684e+17
2.432517897540660e-01,1.432676711951550e+00,1.721744916780906e+17
2.300751816043556e-01,1.356405364872717e+00,1.819050617982675e+17
2.176258671122224e-01,1.284182111362732e+00,1.921855623636621e+17
2.058617815347330e-01,1.215793174820909e+00,2.030470731045327e+17
1.947435589381076e-01,1.151035974354999e+00,2.145224302453243e+17
1.842343280603783e-01,1.089718546634715e+00,2.266463257742605e+17
1.742995208587477e-01,1.031658996879483e+00,2.394554123232169e+17
1.649067025076076e-01,9.766849775769033e-01,2.529884139749559e+17
1.560254165852685e-01,9.246331935900720e-01,2.672862433327347e+17
1.476270442587921e-01,8.753489323715690e-01,2.823921252061712e+17
1.396846760621898e-01,8.286856180590597e-01,2.983517272873085e+17
1.321729948316370e-01,7.845043882828057e-01,3.152132982119548e+17
1.250681685536970e-01,7.426736925687580e-01,3.330278134236435e+17
1.183477521044047e-01,7.030689112719360e-01,3.518491292812020e+17
1.119905969180148e-01,6.655719940240067e-01,3.717341458758500e+17
1.059767678495513e-01,6.300711167263943e-01,3.927429790500028e+17
1.002874665194870e-01,5.964603561654112e-01,4.149391421378449e+17
9.490496040895625e-02,5.646393813694045e-01,4.383897379771362e+17
8.981251721118803e-02,5.345131608697135e-01,4.631656617726778e+17
8.499434393312734e-02,5.059916850669492e-01,4.893418154247773e+17
8.043553032874136e-02,4.789897029424584e-01,5.169973339706257e+17
7.612199632340931e-02,4.534264723912315e-01,5.462158248232159e+17
7.204044297753263e-02,4.292255234876257e-01,5.770856205309949e+17
6.817830674660949e-02,4.063144340285394e-01,6.097000458224110e+17
6.452371675895548e-02,3.846246167306011e-01,6.441576997427272e+17
6.106545486263931e-02,3.640911174885040e-01,6.805627537359663e+17
5.779291826137115e-02,3.446524241306066e-01,7.190252665731752e+17
5.469608447262537e-02,3.262502851356934e-01,7.596615170791464e+17
5.176547846393428e-02,3.088295378013486e-01,8.025943556633902e+17
4.899214181152076e-02,2.923379453795740e-01,8.479535757181375e+17
4.636760372655437e-02,2.767260427193565e-01,8.958763060062386e+17
4.388385383884891e-02,2.619469899789149e-01,9.465074252250988e+17
4.153331658757561e-02,2.479564339921412e-01,1.000000000000000e+18
